ABSENCE	ScottDomains/ScottDomains/A3Thm29.lean:387	have no	PKG
ABSENCE	ScottDomains/ScottDomains/Effective/FunctionSpace.lean:527	has no	PKG
ABSENCE	ScottDomains/ScottDomains/JungSFP.lean:745	does not have	PKG
ABSENCE	ScottDomains/docs/PaperInventory.md:285	has no	PKG
CITE	ScottDomains/ScottDomains/A2Lemma28.lean:342	PowerdomainMapRep.lemma28AtU_of''	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/A2Lemma28.lean:52	PowerdomainMapRep.lemma28AtU_of''	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/A2Thm29Universal.lean:730	A3Thm29.not_thm29NormalWithoutDomain	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/A2Thm29Universal.lean:815	A3Thm29.five_conjuncts_of_thm29Normal	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/A3Thm29.lean:49	Mathlib.Analysis	nonexistent
CITE	ScottDomains/ScottDomains/A3Thm29.lean:93	Skeleton.prop15	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/A4Lemma17Fun.lean:229	ClosureProperties.lem17_fun	wrong-qualifier
CITE	ScottDomains/ScottDomains/A4Lemma17Fun.lean:278	ClosureProperties.lem17_fun	wrong-qualifier
CITE	ScottDomains/ScottDomains/A4PowerdomainRep.lean:321	PowerdomainMapRep.rep_smyth_of	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/A4PowerdomainRep.lean:329	PowerdomainMapRep.rep_hoare_of	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/A4PowerdomainRep.lean:69	FlatPowerdomain.smyth_natBot_orderIso	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/A4RepArrow.lean:15	A4FunctionSpaceBifinite.domain_scottHom	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/A4RepArrow.lean:15	A4Lemma17Fun.lem17_fun	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/A4RepArrow.lean:25	A4FunctionSpaceBifinite.domain_scottHom	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/A4RepArrow.lean:8	ClosureProperties.lem17_fun	wrong-qualifier
CITE	ScottDomains/ScottDomains/Audit/Foundations.lean:104	Smash.directedOn_smashBase	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Audit/Foundations.lean:109	CoalescedSum.directedOn_sumBase	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Audit/Foundations.lean:116	Smash.directedOn_val_smashBase	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Audit/Foundations.lean:116	UniformFixedPoint.directedOn_val_image_subtype	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Audit/Foundations.lean:39	Smash.directedOn_val_smashBase	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Audit/Foundations.lean:39	UniformFixedPoint.directedOn_val_image_subtype	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Audit/Foundations.lean:45	UniformFixedPoint.eq_kleeneOperator_op	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Audit/Foundations.lean:85	Lift.coe_mem_of_mem_liftBase	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Audit/Foundations.lean:89	Smash.coe_mem_of_mem_smashBase	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Audit/Foundations.lean:94	CoalescedSum.coe_mem_of_mem_sumBase	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Audit/Foundations.lean:99	Lift.directedOn_liftBase	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Colimit.lean:1059	ClosureProperties.lem17_fun	wrong-qualifier
CITE	ScottDomains/ScottDomains/Colimit.lean:80	MPair.le	wrong-qualifier
CITE	ScottDomains/ScottDomains/Colimit.lean:976	MPair.le	wrong-qualifier
CITE	ScottDomains/ScottDomains/Combinator.lean:47	exists_thm26_of_thm25	nonexistent
CITE	ScottDomains/ScottDomains/CombinatorRep.lean:544	CoalescedSum.sumSup	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/ContinuousConstruction.lean:505	Function.iterate	nonexistent
CITE	ScottDomains/ScottDomains/Dyadic.lean:440	NormalProjection.normalHom	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Dyadic.lean:45	Dyadic.instPartialOrderU₀	nonexistent
CITE	ScottDomains/ScottDomains/Dyadic.lean:46	Dyadic.instOrderBotU₀	nonexistent
CITE	ScottDomains/ScottDomains/Dyadic.lean:47	Dyadic.instCountableU₀	nonexistent
CITE	ScottDomains/ScottDomains/Effective/A2Compactness.lean:63	not_forall_isCompactElement_ofPairs_iff_bddAbove	nonexistent
CITE	ScottDomains/ScottDomains/Effective/Powerset.lean:70	ComputableFunction.RecursiveLE	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/FixedPoint.lean:23	OmegaCompletePartialOrder.ωSup_iterate_mem_fixedPoint	nonexistent
CITE	ScottDomains/ScottDomains/Flat.lean:53	Flat.Truth.forall_eq	nonexistent
CITE	ScottDomains/ScottDomains/FlatPowerdomain.lean:34	smyth_bot_eq_bot	nonexistent
CITE	ScottDomains/ScottDomains/FlatPowerdomain.lean:34	smyth_oneBot_eq_bot	nonexistent
CITE	ScottDomains/ScottDomains/JungFinite.lean:87	nonempty_sections_of_finite_inverse_system	nonexistent
CITE	ScottDomains/ScottDomains/JungFinite.lean:88	Mathlib.CategoryTheory.CofilteredSystem	nonexistent
CITE	ScottDomains/ScottDomains/JungNets.lean:360	MinimalUpperBounds.isBifinite_iff_mubClosure	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Kleene/Graph.lean:22	FunctionSpaceCountable.countable_compacts_scottHom	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Kleene/Graph.lean:32	sSup_recover	nonexistent
CITE	ScottDomains/ScottDomains/Kleene/Uniform.lean:124	UniformFixedPoint.theorem3	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Lemma28AtU.lean:60	PowerdomainCompacts.finitaryProjection_not_maps_compacts	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Lemma28AtU.lean:64	ScottDomains.PowerdomainMapRep.lemma28AtU_of''	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/PRep.lean:105	isProjection_sSup_of_directed	nonexistent
CITE	ScottDomains/ScottDomains/PRepFun.lean:73	CombinatorRep.arrowFamily	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Powerdomain/BoundedComplete.lean:96	Plotkin.not_single_le_pair	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/Powerset.lean:17	Submodule.fg_iff_compact	nonexistent
CITE	ScottDomains/ScottDomains/Powerset.lean:18	Opens.isCompactElement_iff	wrong-qualifier
CITE	ScottDomains/ScottDomains/PropertyM.lean:475	ScottDomains.comp	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/PropertyM.lean:74	MinimalUpperBounds.isNormalIn_of_isMubClosed	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/PropertyM.lean:783	MinimalUpperBounds.isBifinite_iff_mubClosure	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/PropertyM.lean:838	MinimalUpperBounds.isNormalIn_of_isMubClosed	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/PropertyM.lean:873	MinimalUpperBounds.hasCompleteMub_of_isNormalIn	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/PropertyM.lean:967	MinimalUpperBounds.isBifinite_iff_mubClosure	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/RecursiveDomain.lean:110	FinitaryProjectionPoset.mem_Fc_iff	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/RecursiveDomain.lean:277	FinitaryProjectionPoset.Fc.completePartialOrder	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/SFP.lean:35	FpLattice	nonexistent
CITE	ScottDomains/ScottDomains/SFP.lean:45	FpLattice	nonexistent
CITE	ScottDomains/ScottDomains/Universality.lean:118	Currying.scottContinuous_pairLeft	wrong-module-qualifier
CITE	ScottDomains/ScottDomains/WayBelow.lean:39	MeasureTheory.Measure.AbsolutelyContinuous	nonexistent
CLAIM	ScottDomains/A3Lemma30Schemes.lean:26	plotkinFamily	P3
CLAIM	ScottDomains/A3Lemma30Schemes.lean:26	rep_plotkin	P3
CLAIM	ScottDomains/PowerdomainMap.lean:18	Powerdomain.map	P3b
